Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
0.059936725,-0.04963352,0.04881835,-0.021299332,-0.013754331,-0.07999166,-0.07466905,0.12252517,-0.027548999,0.003134954
0.059989862,0.031841844,0.0020133094,-0.07164952,-0.13786086,-0.050630122,-0.02391215,-0.08717324,-0.013084395,-0.05566732
0.059982404,0.01576007,-0.0682736,-0.04349396,-0.0033015897,-0.11017654,-0.0060416698,-0.080387875,-0.002362475,-0.02274673
0.059989292,0.04817504,0.06275316,-0.03372039,-0.09065365,0.011306517,-0.01971664,0.05735747,0.020483233,0.10719303
0.05999832,0.0016419219,0.0027431026,0.04362198,0.11356194,0.07963341,-0.032883357,0.10780206,-0.084788024,0.1473666
0.06000116,-0.033901367,-0.044109233,-0.004690776,-0.036036335,-0.0032949937,-0.00021845094,-0.099229865,-0.11499851,-0.01967049
0.059991613,-0.03403462,0.07065481,0.0172493,-0.08843254,0.104769066,0.041421648,-0.032434914,-0.06460735,0.022524577
0.059983782,-0.005919597,0.058335748,0.0028993073,-0.11175625,0.056623816,0.024373598,0.072391346,0.015365756,-0.0068919524
0.060003646,-0.025607,-0.049417462,0.0037894142,0.035021853,-0.08846213,-0.016671464,0.057104137,-0.010073909,-0.07315481
0.06000158,0.071678825,-0.020498976,-0.028262906,-0.1134764,-0.046512935,-0.03131475,0.05205584,-0.10095991,0.03368569
0.060007613,-0.08370238,0.15285234,0.0870553,0.045563545,-0.041126497,0.10116977,0.08590053,-0.102730334,-0.06379136
0.060010355,-0.027981311,0.05094391,0.1074311,0.0144386,0.1254045,-0.11960958,0.009387352,0.05612632,-0.06867791
0.059987403,-0.06848651,-0.024277247,-0.09410993,-0.01984155,0.0970486,-0.017006125,-0.07453133,-0.033954713,0.052930683
0.05999007,-0.042065248,-0.038044255,0.0811881,-0.0068805963,0.059225366,0.029825984,0.14278737,0.09371832,0.0067326054
0.059991047,0.06474292,-0.01104523,-0.022756897,-0.003976981,0.11200328,-0.004790276,-0.027056562,-0.07484353,-0.120070815
0.05998593,-0.032320146,0.07256935,-0.09312825,0.028420513,-0.0062792785,0.07936293,0.11781047,0.013386216,-0.0124144275
